Classification,,,,,,,,
Index,DataSet_Name,all_features,X,y,Best_model,rows,columns,
1,Ad Click Prediction,Gender Age EstimatedSalary Purchased   ,nf nf2 Gender Age EstimatedSalary,Purchased,KNN,400,4,
2,Mobile Price Classification,"battery_power	blue	clock_speed	dual_sim	fc	four_g	int_memory	m_dep	mobile_wt	n_cores	pc	px_height	px_width	ram	sc_h	sc_w	talk_time	three_g	touch_screen	wifi	price_range",battery_power' 'int_memory' 'px_height' 'px_width' 'ram',price_range,SVM,2000,21,
3,Bank Marketing,age        job        marital        education        default        balance        housing        loan        contact        day        month        duration        campaign        pdays        previous        poutcome subscribed ,age        job        marital        education        default        balance        housing        loan        contact        day        month        duration        campaign        pdays        previous        poutcome subscribed ,subscribed ,RandomForest,45211,21,
4,Super Store,Order ID        Order Date        Ship Date        Ship Mode        Customer ID        Customer Name        Segment        Country        City        State        Postal Code        Region        Product ID        Category        Sub-Category        Product Name        Sales        Quantity        Discount        Gain_Loss,Order ID        Order Date        Ship Date        Ship Mode        Customer ID        Customer Name        Segment        Country        City        State        Postal Code        Region        Product ID        Category        Sub-Category        Product Name        Sales        Quantity        Discount        ,Gain_Loss,Decision Tree,9994,20,
5,Bank Loans,ID        Age        Experience        Income        ZIP Code        Family        CCAvg        Education        Mortgage        Personal Loan        Securities Account        CD Account        Online        CreditCard,"Age	Income	Family	CCAvg	Education	Mortgage	Securities Account	CD Account	Online	CreditCard",Personal Loan,Random Forest,5000,14,
6,Airline Passenger Satisfaction,"id	Gender	Customer Type	Age	Type of Travel	Class	Flight Distance	Inflight wifi service	Departure/Arrival time convenient	...	Inflight entertainment	On-board service	Leg room service	Baggage handling	Checkin service	Inflight service	Cleanliness	Departure Delay in Minutes	Arrival Delay in Minutes	satisfaction","Gender', 'Customer Type', 'Age', 'Type of Travel', 'Class','Flight Distance', 'Inflight wifi service',
       'Departure/Arrival time convenient', 'Ease of Online booking',
       'Gate location', 'Food and drink', 'Online boarding', 'Seat comfort',
       'Inflight entertainment', 'On-board service', 'Leg room service',
       'Baggage handling', 'Checkin service', 'Inflight service',
       'Cleanliness', 'Departure Delay in Minutes', 'Arrival Delay in Minutes'",satisfaction,Random Forest,,,
7,Telco Customer Churn,customerID        gender        SeniorCitizen        Partner        Dependents        tenure        PhoneService        MultipleLines        InternetService        OnlineSecurity        ...        DeviceProtection        TechSupport        StreamingTV        StreamingMovies        Contract        PaperlessBilling        PaymentMethod        MonthlyCharges        TotalCharges        Churn,        gender        SeniorCitizen        Partner        Dependents        tenure        PhoneService        MultipleLines        InternetService        OnlineSecurity        OnlineBackup        DeviceProtection        TechSupport        StreamingTV        StreamingMovies        Contract        PaperlessBilling        PaymentMethod        MonthlyCharges        TotalCharges        Churn,Churn,Random Forest,7043,21,
8,Customer Service,"Class	Inflight wifi service	Departure/Arrival time convenient	Ease of Online booking	Gate location	Food and drink	Online boarding	Seat comfort	Inflight entertainment	On-board service	Leg room service	Baggage handling	Checkin service	Inflight service	Cleanliness","Class	Inflight wifi service	Departure/Arrival time convenient	Ease of Online booking	Gate location	Food and drink	Online boarding	Seat comfort	Inflight entertainment	On-board service	Leg room service	Baggage handling	Checkin service	Inflight service	Cleanliness",satisfaction,Random Forest,,,
9,financial payment system,"step	customer	age	gender	zipcodeOri	merchant	zipMerchant	category	amount	fraud ",customer  age  gender  merchant  category  amount,fraud,XGBoost,,,
10,Churn of Customers,CustomerId        Surname        CreditScore        Geography        Gender        Age        Tenure        Balance        NumOfProducts        HasCrCard        IsActiveMember        EstimatedSalary        Exited,"CustomerId	Surname	CreditScore	Age	Tenure	Balance	NumOfProducts	HasCrCard	IsActiveMember	EstimatedSalary	NewTenure	NewCreditsScore	NewAgeScore	NewBalanceScore	NewEstSalaryScore	Gender_Male	Geography_Germany	Geography_Spain","Exited	",Random Forest,10000,13,
11,Hotel Reservations,"	Booking_ID	no_of_adults	no_of_children	no_of_weekend_nights	no_of_week_nights	type_of_meal_plan	required_car_parking_space	room_type_reserved	lead_time	arrival_year	arrival_month	arrival_date	market_segment_type	repeated_guest	no_of_previous_cancellations	no_of_previous_bookings_not_canceled	avg_price_per_room	no_of_special_requests	booking_status","	Booking_ID	no_of_adults	no_of_children	no_of_weekend_nights	no_of_week_nights	type_of_meal_plan	required_car_parking_space	room_type_reserved	lead_time	arrival_year	arrival_month	arrival_date	market_segment_type	repeated_guest	no_of_previous_cancellations	no_of_previous_bookings_not_canceled	avg_price_per_room	no_of_special_requests	",booking_status,KNN,36275,19,
12,Hotel Booking,hotel        is_canceled        lead_time        arrival_date_year        arrival_date_month        arrival_date_week_number        arrival_date_day_of_month        stays_in_weekend_nights        stays_in_week_nights        adults        children        babies        meal        country        market_segment        distribution_channel        is_repeated_guest        previous_cancellations        previous_bookings_not_canceled        reserved_room_type        assigned_room_type        booking_changes        deposit_type        agent        company        days_in_waiting_list        customer_type        adr        required_car_parking_spaces        total_of_special_requests        reservation_status        reservation_status_date,hotel        lead_time        arrival_date_month        stays_in_weekend_nights        stays_in_week_nights        adults        children        babies        country        market_segment        distribution_channel        is_repeated_guest        previous_cancellations        previous_bookings_not_canceled        assigned_room_type        booking_changes        deposit_type        agent        company        days_in_waiting_list        customer_type        adr        required_car_parking_spaces        total_of_special_requests,canceled,SVM,119390,32,
13,Bank Marketing,age        job        marital        education        default        balance        housing        loan        contact        day        month        duration        campaign        pdays        previous        poutcome        deposit,age        job        marital        education        default        balance        housing        loan        contact        day        month        campaign        pdays        previous        poutcome,deposit,Xgboost ,11162,17,
14,E-commerceCustomerChurn,"CustomerID	Churn	Tenure	PreferredLoginDevice	CityTier	WarehouseToHome	PreferredPaymentMode	Gender	HourSpendOnApp	NumberOfDeviceRegistered	PreferedOrderCat	SatisfactionScore	MaritalStatus	NumberOfAddress	Complain	OrderAmountHikeFromlastYear	CouponUsed	OrderCount	DaySinceLastOrder	CashbackAmount","Tenure	PreferredLoginDevice	CityTier	WarehouseToHome	PreferredPaymentMode	Gender	HourSpendOnApp	NumberOfDeviceRegistered	PreferedOrderCat	SatisfactionScore	MaritalStatus	NumberOfAddress	Complain	OrderAmountHikeFromlastYear	CouponUsed	OrderCount	DaySinceLastOrder	CashbackAmount	avg_cashbk_per_order","Churn	",KNN,5630,20,
15,Starbucks Customers ,"Gender	Age	Working_Status	Annual_Income	Visit_Duration	Visit_Plan	Spending_Time	Outlet_Location	Member_Card	Frequent_Purchase	...	Promotion_Tools	Loyal_Customer	Buy_Cake	Buy_Coffee	Buy_ColdDrinks	Buy_JawsChip	Buy_Juices	Buy_Pastries	Buy_Sandwiches	Never_Buy","Gender', 'Age', 'Working_Status', 'Annual_Income', 'Visit_Duration', 'Visit_Plan', 'Spending_Time', 'Outlet_Location', 'Member_Card', 'Frequent_Purchase', 'Average_Spending', 'Product_Rating', 'Price_Rating', 'Promotion_Rating', 'Ambiance_Rating', 'Wifi_Rating', 'Service_Rating', 'Hangout_Place_Rating', 'Promotion_Tools'",Loyal_Customer,Random Forest,122,21,
16,Loan Prediction,Loan_ID        Gender        Married        Dependents        Education        Self_Employed        ApplicantIncome        CoapplicantIncome        LoanAmount        Loan_Amount_Term        Credit_History        Property_Area,Gender        Married        Dependents        Education        Self_Employed        ApplicantIncome        CoapplicantIncome        LoanAmount        Loan_Amount_Term        Credit_History        Property_Area,Loan_Status,Logistic regression or SVC,614,13,
17,Credit Card customers,"Attrition_Flag	Customer_Age	Gender	Dependent_count	Education_Level	Marital_Status	Income_Category	Card_Category	Months_on_book	Total_Relationship_Count	Months_Inactive_12_mon	Contacts_Count_12_mon	Credit_Limit	Total_Revolving_Bal	Avg_Open_To_Buy	Total_Amt_Chng_Q4_Q1	Total_Trans_Amt	Total_Trans_Ct	Total_Ct_Chng_Q4_Q1	Avg_Utilization_Ratio",Customer_Age        Gender        Dependent_count        Education_Level        Marital_Status        Income_Category        Card_Category        Months_on_book        Total_Relationship_Count        Months_Inactive_12_mon        Contacts_Count_12_mon        Avg_Open_To_Buy        Total_Amt_Chng_Q4_Q1        Total_Ct_Chng_Q4_Q1        Avg_Utilization_Ratio,Attrition_Flag,XGBoost,10127,23,
18,Commerce Analystics,"ID	Warehouse_block	Mode_of_Shipment	Customer_care_calls	Customer_rating	Cost_of_the_Product	Prior_purchases	Product_importance	Gender	Discount_offered	Weight_in_gms	Reached.on.Time_Y.N",Customer_care_calls        Customer_rating        Cost_of_the_Product        Prior_purchases        Discount_offered        Weight_in_gms ,Reached.on.Time,Random Forest,11000,20,
19,Bank marketing campaigns,"['age', 'job', 'marital', 'education', 'default', 'housing', 'loan', 'contact', 'month', 'day_of_week', 'duration', 'campaign', 'pdays', 'previous', 'poutcome', 'emp.var.rate', 'cons.price.idx', 'cons.conf.idx', 'euribor3m', 'nr.employed', 'y']","age', 'month', 'day_of_week','campaign', 'previous', 'emp.var.rate', 'cons.price.idx', 'cons.conf.idx', 'euribor3m', 'nr.employed', 'job', 'marital_status', 'educationl', 'housing_yes', 'loan', 'bcontacted',
",deposit,Xgboost ,41188,21,
20,Credit Score Classification,"Customer_ID	Month	Name	Age	SSN	Occupation	Annual_Income	Monthly_Inhand_Salary	Num_Bank_Accounts	...	Credit_Mix	Outstanding_Debt	Credit_Utilization_Ratio	Credit_History_Age	Payment_of_Min_Amount	Total_EMI_per_month	Amount_invested_monthly	Payment_Behaviour	Monthly_Balance	Credit_Score","ID', 'Customer_ID', 'Month', 'Name', 'Age', 'SSN', 'Occupation', 'Annual_Income', 'Monthly_Inhand_Salary', 'Num_Bank_Accounts', 'Num_Credit_Card', 'Interest_Rate', 'Num_of_Loan', 'Type_of_Loan', 'Delay_from_due_date', 'Num_of_Delayed_Payment', 'Changed_Credit_Limit', 'Num_Credit_Inquiries', 'Credit_Mix', 'Outstanding_Debt', 'Credit_Utilization_Ratio', 'Credit_History_Age', 'Payment_of_Min_Amount', 'Total_EMI_per_month', 'Amount_invested_monthly', 'Payment_Behaviour', 'Monthly_Balance'",Credit_Score',Random Forest,100000,23,
21,Credit Card Approval,"Gender', 'Own_Car', 'Own_Realty', 'Income', 'Own_Mobile', 'Own_Work_Phone', 'Own_Phone', 'Own_Email', 'Family_Member_Count', 'begin_month', 'Is_Working', 'In_Relationship', 'Household_Size', 'Age', 'Experience', 'Income_Type_Pensioner', 'Income_Type_Student', 'Income_Type_Working', 'Education_Academic', 'Education_Higher', 'Education_secondary', 'Family_Status_Married', 'Family_Status_Single', 'Housing_Type_House', 'Housing_Type_With', 'paid_off', '#_of_pastdues', 'no_loan','target","""begin_month"",""Income"",""Experience"",""In_Relationship"",
                     ""Education_Higher education"",""Education_secondary"",""Own_Realty"",
                     ""Family_Status_Single"",""Family_Member_Count"",""Is_Working"",
                     ""Own_Car"",""Age""",target,LogisticRegression,438557,29,
22,Predicting Coupon Redemption,"coupon_id', 'customer_id', 'brand', 'brand_type', 'category', 'cd_sum',
       'coupon_discount_x', 'coupon_used_x', 'item_counts', 'no_of_customers',
       'od_sum', 'other_discount_x', 'price_sum', 'qu_sum', 'quantity_x',
       'selling_price_x', 't_counts', 'total_discount_mean',
       'total_discount_sum', 'campaign_type', 'campaign_duration', 'age_range',
       'marital_status', 'rented', 'family_size', 'no_of_children',
       'income_bracket', 'coupon_discount_y', 'coupon_used_y', 'day', 'dow',
       'no_of_items', 'month', 'other_discount_y', 'quantity_y',
       'selling_price_y', 'cdd_sum', 'customer_id_count', 'odd_sum', 'qa_sum',
       'pprice_sum'","cd_sum','coupon_discount_x', 'coupon_used_x', 'item_counts', 'no_of_customers',
       'od_sum', 'other_discount_x', 'price_sum', 'qu_sum', 'quantity_x',
       'selling_price_x', 't_counts', 'total_discount_mean',
       'total_discount_sum', 'campaign_type', 'campaign_duration',
        'family_size', 'no_of_children',
       'income_bracket', 'coupon_discount_y', 'coupon_used_y',
       'no_of_items', 'other_discount_y', 'quantity_y',
       'selling_price_y', 'cdd_sum', 'customer_id_count', 'odd_sum', 'qa_sum',
       'pprice_sum'",redemption_status,LogisticRegression,,,
23,Credit Card customers,"Dependent_count', 'Total_Relationship_Count', 'Months_Inactive_12_mon', 'Contacts_Count_12_mon', 'Total_Revolving_Bal', 'Total_Trans_Ct', 'Avg_Utilization_Ratio', 'Churn', 'Income_Category_Ord', 'Gender_F', 'Gender_M', 'Marital_Status_Married', 'Marital_Status_Single', 'Card_Category_Platinum', 'Total_Amt_Chng_Q4_Q1_qcut_(-0.001,', 'Total_Amt_Chng_Q4_Q1_qcut_(0.631,', 'Total_Amt_Chng_Q4_Q1_qcut_(0.736,', 'Total_Trans_Amt_qcut_(509.999,', 'Total_Trans_Amt_qcut_(2155.5,', 'Total_Trans_Amt_qcut_(3899.0,', 'Total_Trans_Amt_qcut_(4741.0,', 'Total_Ct_Chng_Q4_Q1_qcut_(-0.001,', 'Total_Ct_Chng_Q4_Q1_qcut_(0.582,', 'Total_Ct_Chng_Q4_Q1_qcut_(0.702,', 'Total_Ct_Chng_Q4_Q1_qcut_(0.818,'","Dependent_count', 'Total_Relationship_Count', 'Months_Inactive_12_mon', 'Contacts_Count_12_mon', 'Total_Revolving_Bal', 'Total_Trans_Ct', 'Avg_Utilization_Ratio', 'Income_Category_Ord',  'Gender', 'Marital_Status', 'Marital_Status', 'Card_Category_Platinum', 'Total_Trans_Amt_qcut, 'Total_Ct_Chng_Q4_Q1_qcut", 'Churn',SVM,10127,25,
24,Who will buy.,"Age	EstimatedSalary	Purchased","Age	EstimatedSalary	",Purchased,KNN,400,3,
25,Customer Attrition,CustomerID        recorddate_key        birthdate_key        orighiredate_key        terminationdate_key        age        length_of_service        city_name        department_name        job_title        gender_short        gender_full        termreason_desc        termtype_desc        STATUS_YEAR        STATUS        BUSINESS_UNIT,"age', 'length_of_service', 'city_name', 'department_name', 'job_title', 'store_name', 'gender_short', 'STATUS_YEAR', 'BUSINESS_UNIT'",Status,Random Forest,49653,18,
26,Customer Segmentation,"ID	Gender	Ever_Married	Age	Graduated	Profession	Work_Experience	Spending_Score	Family_Size	Var_1	Segmentation",Gender        Ever_Married        Age        Graduated        Work_Experience        Spending_Score        Family_Size        Var_1,Profession,SVM,8068,11,
27,German Credit,Age        Sex        Job        Housing        Saving accounts        Checking account        Credit amount        Duration        Purpose        Risk,"Age	Sex	Job	Housing	Saving accounts	Checking account	Credit amount	Duration	",Risk,Logistic regression,1000,11,
28,Customer Service,"CustomerId', '', 'Pclass', 'Name', 'Sex', 'Age', 'SibSp', 'Parch', 'Ticket', 'Fare', 'Cabin', Embarked'","CustomerId', 'Pclass', 'Age', 'SibSp', 'Parch', 'Fare', 'Sex', 'Embarked'",satisfaction',SVM,891,12,
29,Retailrocket,CustomerId        itemid        date_time        purchase        num_categoryId        num_parentId        dayofweek        hour        week        previous_view,"dayofweek','hour','previous_view','previous_transaction'",Purchase,Decision Tree,25000,10,
30,Marketing Campaign,"id', 'day', 'month', 'duration', 'contactId', 'age', 'gender', 'job', 'maritalStatus', 'education', 'creditFailure', 'accountBalance', 'house', 'credit', 'contactType', 'numberOfContacts', 'daySinceLastCampaign', 'numberOfContactsLastCampaign', 'lastCampaignResult'","day	month	duration	contactId	age	gender	job	maritalStatus	education	creditFailure	accountBalance	house	credit	contactType	numberOfContacts	daySinceLastCampaign	numberOfContactsLastCampaign	lastCampaignResult",response,XGBoost,13731,19,
31,Potential Customers,ID        age        current_occupation        first_interaction        profile_completed        website_visits        time_spent_on_website        page_views_per_visit        last_activity        print_media_type1        print_media_type2        digital_media        educational_channels        referral        status,age        current_occupation        first_interaction        profile_completed        website_visits        time_spent_on_website        page_views_per_visit        last_activity        print_media_type1        print_media_type2        digital_media        educational_channels        referral    ,status,Random Forest,4612,16,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
