Dataset_Name,numberofFeatres,logofFeatures,numberofInstances,logofInstances,numberofClasses,numberofNumericalFeatures,numberofCategoricalFeatures,ratio,entropy,classprobmax,classprobmin,classprobmean,classprobstd,symbolsmean,symbolssum,symbolsstd,skewnessmin,skewnessmax,skewnessmean,skewnessstd,kurtosismin,kurtosismax,kurtosismean,kurtosisstd,DatasetRatioofNumberofFeaturestoNumberofInstances
modified_clf1,4,1.3862943611198906,400,5.991464547107982,2,3,1,3.0,0.99971144175281,0.51,0.49,0.5,0.0141421356237309,23260.170833333334,27912205.0,19682.72516245636,0.0401587548767998,0.596902836080957,0.3408556707360303,0.252811381082393,-2.008454736906598,-0.4058775625580293,-1.1722093616348896,0.7786587470125802,0.01
modified_clf10,17,2.833213344056216,10000,9.210340371976184,2,17,0,0.0,0.7292666572167683,0.7963,0.2037,0.5,0.4190314785311481,1.1984275647058824,201695.686,0.7435164606402765,-0.9018115952400578,1.4716106649378211,0.2852141908350011,0.6250245340071403,-1.9967468033281528,1.395258606200119,-0.8055113148477937,0.9010351513545284,0.0017
modified_clf11,18,2.8903717578961645,36275,10.498884077752388,2,18,0,0.0,0.9124929479549404,0.6723638869745003,0.3276361130254996,0.5,0.2437593466226816,124.48693449728158,81259353.88,21.10480502633408,-1.6848713566365243,25.19987595207561,3.6004025219049325,7.19053181430185,-1.4605794445628075,732.7356755507192,72.58007077500672,196.2357405365449,0.0004962095106822
modified_clf12,51,3.9318256327243257,119390,11.690150724339434,2,51,0,0.0,0.9509911894723302,0.6295837172292487,0.3704162827707513,0.5,0.1832590503683235,47.34096979909312,288209733.6,22.494621547438857,-2.2882015271460525,244.3225326793908,13.65875334209275,39.8186423690568,-1.99746556634312,59692.49993299116,1808.911593058392,8915.599560976678,0.0004271714548957
modified_clf13,50,3.912023005428146,11161,9.320180837655714,2,50,0,0.0,0.9980173361490172,0.5262073290923752,0.4737926709076248,0.5,0.037062760236012,32.676962637756475,18230091.0,455.9989928311991,-7.966609392275864,12.509645521605725,2.895737216380817,3.2821351063241604,-1.998954725959736,154.5189201262069,19.92379319797057,34.68788553396007,0.0044798853149359
modified_clf14,35,3.555348061489413,9364,9.1446278286108,2,35,0,0.0,1.0,0.5,0.5,0.5,0.0,0.1499038986138299,44447.50373169663,0.3204246009250342,-1.422978761459821,9.33153734432192,1.6403538071491288,2.191414794947248,-2.00042730477513,85.09576425174376,5.791562430851075,16.90765743445795,0.0037377189235369
modified_clf15,44,3.784189633918261,122,4.804021044733257,2,28,16,1.75,0.4637773498877516,0.9016393442622952,0.0983606557377049,0.5,0.5680038078383742,1.1937939110070257,4599.0,0.4225264400139197,-1.3025438344752485,11.04536101718726,2.1617492105064966,3.4151879334950284,-2.033613445378151,121.99999999999991,14.62788175468444,35.84259267074748,0.360655737704918
modified_clf16,13,2.5649493574615367,607,6.408528791059498,2,13,0,0.0,0.8928499058678334,0.6902800658978583,0.3097199341021416,0.5,0.2690966498419975,544.1593277514515,4293542.255286705,1264.178893856459,-2.425243981927272,3.869855694013059,0.347736788914347,1.9988759035155168,-1.5837034142063589,21.73463049531218,3.554586761811088,6.477221098527036,0.0214168039538715
modified_clf17,20,2.995732273553991,10127,9.222960403332284,2,20,0,0.0,0.6358852490599919,0.8393403772094401,0.1606596227905599,0.5,0.4798997637103921,68.5493122291636,13875477.698894791,181.45090300780984,-1.8484488579523548,3.732520838931861,0.3411574325969959,1.1081305103098986,-1.986811496968627,15.689292901407043,1.299591306348391,4.496284963861356,0.0019749185346104
modified_clf18,20,2.995732273553991,10999,9.305559638557115,2,20,0,0.0,0.9728535767916208,0.5966906082371125,0.4033093917628875,0.5,0.1367411695230281,193.6398036185108,42590321.0,364.9725115289116,-0.7641062332119282,2.9494087966936138,0.8583222613363549,1.0567420011489626,-2.0000898235380173,6.700230551461256,0.1814424956021279,2.31936026645154,0.0018183471224656
modified_clf19,43,3.7612001156935615,38245,10.551768111755967,2,43,0,0.0,0.4781696921860371,0.897084586220421,0.102915413779579,0.5,0.561562407242228,122.89454670469158,202100447.365,10.944778838516475,-5.003679422927736,112.8996600799862,5.328093968299864,18.26888948316367,-1.976792828706964,12744.99973851287,353.11130560670244,1961.3970898837924,0.0011243299777748
modified_clf2,21,3.044522437723423,2000,7.600902459542082,4,21,0,0.0,2.0,0.25,0.25,0.25,0.0,261.2525238095238,10969606.0,270.27708091379185,-1.2281416344153246,1.019811410531552,0.0601914415882502,0.4112523692352856,-2.0018586386605075,0.2770763245651877,-1.2246471442339957,0.6065539759339303,0.0105
modified_clf20,24,3.1780538303479458,100000,11.512925464970229,3,24,0,0.0,1.4459441981929475,0.53174,0.17828,0.3333333333333333,0.1806740892694172,2534.9312307345044,6083699607.762811,7784.740665169333,-0.7315973027160082,4.343588464239783,0.5921852249841993,1.2516850578496492,-1.4932668256337336,29.77428649715464,1.5416229287076588,7.040048303277916,0.00024
modified_clf21,29,3.367295829986474,49034,10.800269214022055,2,29,0,0.0,1.0,0.5,0.5,0.5,0.0,0.0172413794168543,0.0001514550283232,0.204628383018887,-3.46724869013328,90.3871301644055,5.482322134387575,18.36242979396396,-2.0000815810405665,8168.166462730705,354.2838983880026,1549.5973174996434,0.0005914263572215
modified_clf22,32,3.4657359027997265,78369,11.269183719980813,2,32,0,0.0,0.0761304918392204,0.9906978524671746,0.0093021475328254,0.5,0.6939515579864304,-2258.6035417476187,-5664144759.823012,54556.44448245864,-11.4617739915917,13.9817331542076,0.3060194845670093,5.915461150642437,-1.0744972426204524,235.7265084410715,43.91883054728928,59.642490020170925,0.0004083247202337
modified_clf23,25,3.218875824868201,10127,9.222960403332284,2,25,0,0.0,0.6358852490599919,0.8393403772094401,0.1606596227905599,0.5,0.4798997637103921,49.83016430137256,12614124.847,162.75079824825076,-0.1624524149817368,22.43883085130819,1.5696557981632475,4.384861467667362,-1.986811496968627,501.600191888138,19.364946809647545,100.46874585479108,0.002468648168263
modified_clf24,3,1.0986122886681098,400,5.991464547107982,2,3,0,0.0,0.940588414019384,0.6425,0.3575,0.5,0.201525432638166,23260.170833333334,27912062.0,19682.72516245636,0.2313374630964282,0.596902836080957,0.4410879760224405,0.1886565701718645,-1.6519921314158794,-0.4058775625580293,-0.8934609032109867,0.6657777016441663,0.0075
modified_clf25,10,2.302585092994046,96336,11.47559735970423,2,10,0,0.0,1.0,0.5,0.5,0.5,0.0,211.03072786912472,203250394.0,5.5577898086432524,-5.697431681734551,3.474097996929414,-0.248212450271044,2.2232904877720268,-2.0000415226350263,30.461360165877885,3.082187089586589,10.351089053084875,0.0001038033549244
modified_clf26,12,2.4849066497880004,8068,8.995660899074103,2,9,3,3.0,0.8569596172244766,0.7188894397620228,0.2811105602379772,0.5,0.3095564143717013,6.553145485594667,479665.0,5.201244940275682,-1.192856704859479,1.321526337987613,0.3235812313229606,0.8830374692942544,-1.964088752594345,1.2602249836130976,-0.6653215790837004,1.011982562389128,0.0014873574615765
modified_clf27,29,3.367295829986474,1000,6.907755278982137,2,29,0,0.0,0.8812908992306927,0.7,0.3,0.5,0.282842712474619,113.78889655172412,3299178.0,524.0303979588988,-0.943139835610928,8.977035139408555,2.246645874363811,2.487321247391864,-1.8258560218791628,78.74464549645138,9.265736157090611,20.988837817226127,0.029
modified_clf28,9,2.19722457733622,891,6.792344427470809,2,9,0,0.0,0.9607079018756468,0.6161616161616161,0.3838383838383838,0.5,0.1642773330029353,7.439813333838384,59317.86312405,16.35937484545829,-1.00336183845602,4.787316519674893,1.4267493134711382,2.1421831290318307,-1.775004671066304,33.39814088089868,7.006911985028035,11.954363498685565,0.0101010101010101
modified_clf29,5,1.6094379124341005,44432,10.70171520954658,2,5,0,0.0,0.999919970048218,0.5052664746128916,0.4947335253871084,0.5,0.0074479198234449,0.0989467050774217,4.163780431554187e-12,0.223621718363773,-0.5304348756114317,6.837454565940429,1.4083829705043749,3.0572722881218226,-1.9996461600214936,56.01895954688543,9.974712031464382,25.74229335492808,0.0001125315088224
modified_clf3,23,3.1354942159291497,49732,10.814403868072828,2,9,14,0.6428571428571429,0.5201685020421689,0.8831738116303386,0.1168261883696613,0.5,0.5418896011538185,192.95538084130945,86549120.0,1001.3000626074836,-1.6454489028845556,40.78364835804942,3.920452235214933,8.44402729561808,-1.9974120328060163,4463.729868218614,207.9536416988405,928.2145775037218,0.0004624788868334
modified_clf30,48,3.871201010907891,31480,10.35710770253134,2,48,0,0.0,0.5222333782103632,0.8824650571791613,0.1175349428208386,0.5,0.5408872709965713,0.151024863488418,224504.6097255392,0.1425144521595096,-0.6130993907279502,47.32521273972273,4.601353945475176,7.05828268609124,-2.0001125436345264,4881.4175582228445,125.01839514755704,702.3314744052392,0.0015247776365946
modified_clf31,17,2.833213344056216,4612,8.436416881388949,2,5,12,0.4166666666666667,0.1423647798841414,0.9798352124891588,0.0201647875108412,0.5,0.6785894652063442,155.4207931916739,3595185.491,330.629289891977,-0.7200216909419968,6.829517932071302,1.9979931719588289,2.076896675334547,-1.997683785261973,44.66168259690837,6.790275555338123,13.82145066022806,0.0036860364267129
modified_clf32 0.5 gb,11,2.3978952727983707,1048575,13.862942657524137,2,11,0,0.0,0.0122899825612973,0.99891090289202,0.0010890971079798,0.5,0.705566565285701,0.2262398304449008,2608381.732296381,0.1414769786250008,0.0909759219048643,30.25219789549321,4.596533798398806,9.162607661342204,-1.837360712755104,913.1972192952084,95.56277138340208,274.4900189130027,1.049042748492001e-05
modified_clf33,21,3.044522437723423,2000,7.600902459542082,4,21,0,0.0,2.0,0.25,0.25,0.25,0.0,261.2525238095238,10969606.0,270.27708091379185,-1.2281416344153246,1.019811410531552,0.0601914415882502,0.4112523692352856,-2.0018586386605075,0.2770763245651877,-1.2246471442339957,0.6065539759339303,0.0105
modified_clf34,20,2.995732273553991,10999,9.305559638557115,2,20,0,0.0,0.9728535767916208,0.5966906082371125,0.4033093917628875,0.5,0.1367411695230281,193.6398036185108,42590321.0,364.9725115289116,-0.7641062332119282,2.9494087966936138,0.8583222613363549,1.0567420011489626,-2.0000898235380173,6.700230551461256,0.1814424956021279,2.31936026645154,0.0018183471224656
modified_clf35,33,3.49650756146648,2205,7.698482787880946,4,33,0,0.0,1.903981527656732,0.3832199546485261,0.1492063492063492,0.25,0.1058911596026859,0.0332714903933565,-1.5274118840835629e-06,0.012863574696211,-0.6059904412664527,10.363650940859332,1.169658634716086,2.437778489948944,-2.001452861601972,105.5009525142154,5.897337018837246,21.714473368628667,0.0149659863945578
modified_clf36,5,1.6094379124341005,200,5.298317366548036,5,5,0,0.0,2.148713385928616,0.395,0.11,0.2,0.1157583690279022,30.448,30010.0,12.601075578862297,-0.3882867857413485,0.4855688509668165,0.1230963907488839,0.3449356904774845,-1.960375226988056,-0.098487086526962,-0.8948997617473726,0.6753803962737722,0.025
modified_clf37,11,2.3978952727983707,10000,9.210340371976184,2,11,0,0.0,0.7292666572167683,0.7963,0.2037,0.5,0.4190314785311481,16115.812872727274,1772737379.0,24272.054102597547,-0.9018115952400578,1.4716106649378211,0.2495682757033208,0.6465294306674668,-1.9967468033281528,1.3953470615086956,-0.7857468896425129,1.0876780157563597,0.0011
modified_clf38,20,2.995732273553991,243787,12.404050172212212,2,20,0,0.0,0.6827647476475857,0.8187680229052411,0.1812319770947589,0.5,0.4508060612434493,0.4839876613571102,2315615.999985317,0.2801773605572994,-0.006565089138724,1.6550440835817826,0.1167432688696887,0.3939334883198789,-2.000016049298932,0.7391769826531691,-1.3088880248781103,0.642733412692849,8.203882897775518e-05
modified_clf39,22,3.091042453358316,9134,9.119758993744943,2,22,0,0.0,0.592561524099713,0.8567987738121305,0.1432012261878694,0.5,0.5045896649632053,2103.370634919412,422666814.3457861,6567.846797618978,-0.4683829832736892,3.0322802599299847,0.7588855751776687,0.996796630085918,-1.998848456686764,13.823533425442404,1.0999189358990142,3.9047153035989695,0.0024085833150864
modified_clf4,17,2.833213344056216,9994,9.20974019190415,3,17,0,0.0,0.7502512793050531,0.8062837702621573,0.0065039023414048,0.3333333333333333,0.4194347035771381,3419.0714562758726,580891401.2783581,7752.760225726099,-1.1664269719970273,1.7661239761274377,0.1659324121929653,0.6807748374197992,-1.5536796963007695,2.409546122596677,-0.6133731607578663,1.1506397576048155,0.0017010206123674
modified_clf40,14,2.6390573296152584,47280,10.76384265207998,2,14,0,0.0,1.0,0.5,0.5,0.5,0.0,0.1369345496894052,66999.71713041113,0.1874195910510432,-2.7274924249730867,8.537908114901205,0.1461856788774488,2.8376288836755097,-2.000084607737377,77.2044440332378,6.901803336392151,20.58453096651996,0.0002961082910321
modified_clf41,11,2.3978952727983707,14999,9.61573881119536,2,6,5,1.2,0.791837041655919,0.7619174611640777,0.2380825388359224,0.5,0.370407225800567,0.8718547903193546,85599.7,0.4981254764991672,-0.4763603412839644,6.636968380523423,2.460943230320311,2.241321671063519,-1.997869713790026,42.05495696777868,9.097067226607937,13.169903959038248,0.0007333822254816
modified_clf42,18,2.8903717578961645,12330,9.41979059615839,2,18,0,0.0,0.6215872133523166,0.8452554744525548,0.1547445255474452,0.5,0.4882649744543606,0.0085969181152105,6.489827775624235e-06,0.1504640538896774,-2.326761752802273,7.579184716046325,3.034845409594045,2.5455875809820223,-1.615745828504859,137.1741637409408,24.71637851183437,36.55344377703311,0.0014598540145985
modified_clf43,11,2.3978952727983707,9000,9.104979856318357,2,8,3,2.6666666666666665,0.713629278781465,0.8041111111111111,0.1958888888888889,0.5,0.4300780578016845,198.614927111432,14303678.7520231,292.15590273838234,-0.2682007718433265,1.5945578930792854,0.4022779321096513,0.7541576408401676,-1.9991792926008327,0.5427354328701943,-0.9092273720811012,0.9271528988671188,0.0012222222222222
modified_clf44,34,3.5263605246161616,180519,12.10359131437319,2,25,9,2.7777777777777777,0.9727344635013468,0.5969011572189077,0.4030988427810923,0.5,0.1370389307486268,1574.5475988283931,7106256193.822569,7497.758569387448,-4.741834070263963,6.439303119629733,0.7667276952555261,2.205504287762189,-1.843917460033191,71.37725865589996,9.77942822031704,19.288316629159308,0.0001883458250932
modified_clf45,34,3.5263605246161616,180519,12.10359131437319,2,25,9,2.7777777777777777,0.9727344635013468,0.5969011572189077,0.4030988427810923,0.5,0.1370389307486268,1574.5686304095566,7106351108.822569,7497.755549216671,-4.741834070263963,3.949273598052709,0.5716283632045537,1.9692413797821504,-1.9623569579002984,71.37725865589996,8.560974724310276,18.654309369091703,0.0001883458250932
modified_clf46,14,2.6390573296152584,3333,8.11162807830774,2,11,3,3.6666666666666665,0.8508149715031255,0.7233723372337234,0.2766276627662766,0.5,0.3158961887749082,41.96122303139404,1544284.32,18.61839031953668,-2.7263316038885086,2.0183560605464663,-0.200570521377199,1.45952068872294,-1.0023219636177862,5.436145668370985,1.1089060182232566,2.0745645259355907,0.0042004200420042
modified_clf5,12,2.4849066497880004,4894,8.495765244002618,2,12,0,0.0,0.4313612807300661,0.9115243154883532,0.0884756845116469,0.5,0.5819832682099333,7780.413421196024,456927686.4,503.624333786945,-0.3932824247729975,3.7979726669623153,1.1655289922532852,1.3652335854854916,-1.8460835287374329,12.42967576929125,1.6706213520033764,4.340318428125645,0.0024519820187985
modified_clf6,23,3.1354942159291497,103594,11.548234692072462,2,23,0,0.0,0.987161175643557,0.5666061741027473,0.4333938258972527,0.5,0.0941953547538888,56.82799826412643,135357015.0,207.1665427339428,-1.641827066489736,6.769048944816573,0.4050775392654285,2.0495146326464178,-1.999133621066037,101.46671443865606,7.694060135841485,28.521613161113635,0.0002220205803424
modified_clf7,20,2.995732273553991,7032,8.858226439365012,2,20,0,0.0,0.835351115333023,0.7342150170648464,0.2657849829351535,0.5,0.3312300536445516,119.65892135949946,16826961.700000003,506.14932287479417,-2.729726752807516,1.8311025436022044,0.1860956166383471,0.8610951265050083,-2.0002164263864484,5.452958962606436,-0.9696183734217052,1.689114850207443,0.002844141069397
modified_clf8,93,4.532599493153256,103904,11.551222674902572,2,93,0,0.0,0.8936035959001665,0.6896269633507853,0.3103730366492147,0.5,0.2681730233623065,0.1761264947627421,1630268.0,0.1847662512057095,-0.8197609876227016,322.3414338864926,18.46789667003721,63.154448865372615,-1.9991481161084217,103904.00000000004,4285.951522786269,18999.23850492122,0.0008950569756698
modified_clf9,8,2.079441541679836,594643,13.295716504455736,2,8,0,0.0,0.0944651180349981,0.987891894800746,0.012108105199254,0.5,0.6899833345991224,276.8256325076558,1316892196.73,412.110963147866,-2.56739367062256,32.36583815088305,4.970054679720026,11.56747806386393,-1.7945888982020957,1425.323683315392,188.01324233665332,500.6868540660093,1.345345022139334e-05
modified_cls47,14,2.6390573296152584,32561,10.390870532175569,2,14,0,0.0,0.7963839552022132,0.7591904425539756,0.2408095574460244,0.5,0.3665506390973169,13648.451291422254,6221693274.0,28116.857262892103,-4.243158292752641,11.953847687699794,0.9723206442222713,3.699745221041265,-1.4827093031424787,154.7994378542533,14.353141820608993,41.023562508632196,0.00042996222474739717
